1.000 0.010
12 80  1.667841 1.481020 
12 81  1.641101 1.796496 
12 82  1.587595 2.201573 
12 83  1.486468 2.764917 
12 84  1.280975 3.672661 
12 85  0.709107 5.781076 
13 14  -6.737080 7.871975 
13 15  -3.968566 2.574550 
13 16  -3.282287 1.376842 
13 17  -2.889217 0.753896 
13 18  -2.608309 0.349856 
13 19  -2.385410 0.058523 
13 20  -2.197628 -0.164884 
13 21  -2.033299 -0.343122 
13 22  -1.885725 -0.489218 
13 23  -1.750729 -0.611275 
13 24  -1.625535 -0.714655 
13 25  -1.508211 -0.803078 
